N,Triton (GB/s),Torch (GB/s),Naive Softmax (GB/s)
256.000000,252.558979,362.594321,94.065921
384.000000,349.924947,386.169047,93.575937
512.000000,372.638879,393.782231,96.139431
640.000000,375.274800,392.693296,96.580085
768.000000,385.370026,394.827767,98.212786
896.000000,389.639652,400.093793,98.840630
1024.000000,391.891620,401.508427,100.031101
1152.000000,394.527299,402.796803,100.065401
1280.000000,394.350632,402.671790,100.893402
1408.000000,373.050958,406.108307,101.148989
1536.000000,400.551863,405.384343,101.707339
1664.000000,399.643131,407.230728,101.951582
1792.000000,403.185119,407.396692,101.919374
1920.000000,403.338860,405.087255,102.095459
2048.000000,405.389863,408.189638,102.610817
2176.000000,385.623715,341.884755,102.454556
2304.000000,388.023269,353.186260,102.794882
2432.000000,365.595438,360.755947,103.019591
2560.000000,393.194372,381.618021,102.999314
2688.000000,393.161266,387.364268,103.024798
2816.000000,394.037138,393.452622,103.298500
2944.000000,397.067013,398.430234,103.328009
3072.000000,397.716267,405.008804,103.479212
3200.000000,398.817804,400.162976,103.375503
3328.000000,399.754571,376.685311,103.640452
3456.000000,400.025728,408.111887,103.648137
3584.000000,400.822571,411.660811,103.831626
3712.000000,402.054654,414.181092,103.505526
3840.000000,401.521876,415.587702,103.943766
3968.000000,403.003364,413.893190,103.833349
4096.000000,402.001696,412.144167,104.048769
4224.000000,407.445241,370.535623,104.000827
4352.000000,407.989724,411.372660,104.054153
4480.000000,407.312436,407.697130,104.141206
4608.000000,408.115234,408.458301,104.287974
4736.000000,409.005151,407.240141,104.177112
4864.000000,408.602793,407.134882,104.279884
4992.000000,408.418161,407.293193,95.279574
5120.000000,409.153476,407.019411,104.310225
5248.000000,409.943704,405.871480,104.339235
5376.000000,409.129925,406.916860,104.379789
5504.000000,409.626287,407.036825,104.468325
5632.000000,408.997799,407.400031,104.328142
5760.000000,408.955449,407.509894,95.566613
5888.000000,409.616697,407.577509,104.504784
6016.000000,409.353842,407.513959,104.514623
6144.000000,410.580118,409.885533,104.586927
6272.000000,409.658123,407.783625,104.549050
6400.000000,409.473781,408.105837,104.474410
6528.000000,409.465899,408.041990,96.541516
6656.000000,410.115312,408.051671,104.641696
6784.000000,410.147779,408.953443,104.799820
6912.000000,409.412133,409.341935,104.556036
7040.000000,409.629927,409.193828,104.707255
7168.000000,409.956664,409.420526,104.754297
7296.000000,409.469686,370.917426,104.803177
7424.000000,409.857452,408.764432,104.803851
7552.000000,410.635399,408.798592,104.799767
7680.000000,410.062477,409.507838,104.709359
7808.000000,410.384534,409.272130,104.839384
7936.000000,409.844793,409.432293,96.674195
8064.000000,410.393142,409.987701,104.866447
8192.000000,410.666097,407.373979,104.988200
8320.000000,406.630751,409.266783,104.710060
8448.000000,406.824447,409.383004,104.641424
8576.000000,407.449741,409.277238,95.663178
8704.000000,407.590268,409.599256,105.119099
8832.000000,406.924229,410.389304,104.968056
8960.000000,407.059319,410.119729,104.891040
9088.000000,407.349171,410.065117,104.920722
9216.000000,407.591509,410.313812,96.544675
9344.000000,407.473600,411.576207,104.877139
9472.000000,408.678117,412.238873,105.002900
9600.000000,408.246973,411.378775,104.986010
9728.000000,406.981650,411.378721,105.022525
9856.000000,407.485085,371.164395,104.953112
9984.000000,406.973954,412.109168,105.006015
10112.000000,406.955278,411.928270,104.933783
10240.000000,407.439401,411.997488,105.100343
10368.000000,406.743773,412.150361,104.897548
10496.000000,370.135513,412.410543,104.985097
10624.000000,407.498297,412.561814,104.910871
10752.000000,406.537469,411.860699,105.064849
10880.000000,407.095194,411.906578,105.018999
11008.000000,406.672743,411.975242,96.834579
11136.000000,406.258072,412.024240,104.991395
11264.000000,406.104494,411.821126,105.044890
11392.000000,407.030335,412.522780,105.194839
11520.000000,406.897287,412.622135,105.066880
11648.000000,369.004995,412.643546,105.093557
11776.000000,406.560747,413.045481,105.117552
11904.000000,406.749747,413.341920,105.107853
12032.000000,406.304612,413.219686,105.190588
12160.000000,406.511051,373.629990,105.163370
12288.000000,406.377383,407.091953,105.267906
12416.000000,406.544645,365.601852,105.026548
12544.000000,406.770618,363.961472,105.149288
12672.000000,406.407590,356.246451,96.241823
