size,Triton (GB/s),Torch (GB/s)
4096.000000,14.355140,12.094488
8192.000000,31.999999,31.999999
16384.000000,49.349397,48.000000
32768.000000,96.000000,96.000000
65536.000000,153.600004,153.600004
131072.000000,219.428568,219.428568
262144.000000,297.890900,279.272725
524288.000000,361.411758,361.411758
1048576.000000,384.000001,384.000001
2097152.000000,396.387102,396.387102
4194304.000000,406.214885,409.600010
8388608.000000,412.933589,413.042029
16777216.000000,416.542360,416.569947
33554432.000000,417.870348,417.870348
67108864.000000,418.621063,418.983490
134217728.000000,419.006151,419.206831
