size,Triton (GB/s),Torch (GB/s)
4096.000000,12.094488,15.207921
8192.000000,26.033898,31.999999
16384.000000,48.000000,48.000000
32768.000000,96.000000,92.739624
65536.000000,153.600004,153.600004
131072.000000,219.428568,219.428568
262144.000000,280.868581,296.096389
524288.000000,361.411758,361.411758
1048576.000000,384.000001,384.000001
2097152.000000,396.387102,396.387102
4194304.000000,406.214885,406.214885
8388608.000000,413.042029,413.042029
16777216.000000,416.542360,416.542360
33554432.000000,417.426746,417.426746
67108864.000000,418.537523,418.558398
134217728.000000,418.871909,419.203332
